City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
juan aldama,75,63,24.94,-107.82,91.4,6.93
kysyl-syr,0,80,63.9,122.77,38.44,6.06
moose factory,90,87,51.26,-80.61,51.8,10.29
guigue,20,65,10.09,-67.78,80.6,2.93
kingaroy,0,55,-26.54,151.84,69.4,5.61
maumere,0,100,-8.63,122.22,78.76,7.07
soe,0,76,57.91,26.05,53.6,12.75
aliwal north,0,72,-30.69,26.71,32.86,3.94
corral nuevo,75,66,18.11,-95.11,86.0,11.41
onojo,75,69,33.54,130.48,76.8,2.24
komsomolskiy,36,90,67.55,63.78,38.62,17.69
belyy yar,0,74,53.6,91.39,37.4,15.66
sudak,0,100,44.85,34.97,53.11,3.38
atambua,0,100,-9.11,124.89,74.44,6.96
sal rei,75,74,16.18,-22.92,78.8,10.29
panalingaan,88,100,8.78,117.42,76.87,8.75
chake chake,56,98,-5.25,39.77,77.59,11.88
sikonge,0,43,-5.63,32.75,73.4,12.44
bambanglipuro,44,86,-7.95,110.28,71.29,4.05
kayerkan,64,96,69.35,87.76,32.5,4.72
folkestone,75,84,34.1,-80.94,78.85,3.27
el paujil,20,90,1.57,-75.33,69.76,1.25
anadyr,90,82,64.73,177.51,55.4,6.71
mogadishu,8,100,2.04,45.34,77.59,14.12
naziya,92,100,59.84,31.59,53.83,14.67
maragogi,80,88,-9.01,-35.22,71.38,7.52
akot,0,80,21.09,77.05,71.74,8.97
san lorenzo,75,65,-25.34,-57.51,77.0,3.36
alghero,75,94,40.56,8.32,71.6,3.36
aykhal,64,83,65.95,111.51,28.9,4.61
kungurtug,56,77,50.6,97.53,22.24,8.19
general pico,88,85,-35.66,-63.75,63.01,4.38
dubuque,1,55,42.5,-90.66,73.65,5.82
corinto,76,49,-18.36,-44.46,74.71,13.11
oranzherei,0,71,45.85,47.57,57.2,11.65
neuquen,0,16,-38.95,-68.06,59.0,3.36
gornopravdinsk,48,86,60.06,69.92,46.0,5.73
yulara,0,30,-25.24,130.99,66.2,18.34
terrace,75,51,54.52,-128.61,60.8,12.75
saint-gilles,88,77,43.68,4.43,69.53,2.24
batetskiy,36,84,58.65,30.3,54.91,11.43
wadi maliz,20,73,36.47,8.55,75.02,2.71
batagay-alyta,0,68,67.8,130.41,28.72,2.93
pa sang,20,88,18.53,98.94,75.02,3.36
botwood,90,100,49.14,-55.34,60.8,9.17
zaysan,0,69,47.47,84.87,20.62,5.39
itupiranga,0,83,-5.13,-49.33,80.6,4.7
gallup,1,3,35.53,-108.74,82.98,20.8
tingi,0,100,-11.3,35.03,69.22,5.95
lipari,20,73,38.47,14.95,75.2,5.82
olinda,90,78,-2.03,-79.75,75.2,12.75
sao filipe,100,100,14.9,-24.5,77.05,10.42
kidal,0,45,18.44,1.41,78.4,2.93
martapura,0,88,-3.41,114.85,80.02,6.06
gagnoa,92,99,6.13,-5.95,69.4,2.37
miracema do tocantins,76,46,-9.56,-48.4,82.72,3.27
pambujan,88,100,12.56,124.93,80.92,17.81
anzio,0,83,41.45,12.63,69.91,4.7
xining,92,100,36.62,101.77,45.01,3.49
srandakan,44,86,-7.94,110.25,71.29,4.05
gorontalo,8,65,0.54,123.06,80.38,4.5
havre-saint-pierre,20,100,50.23,-63.6,50.0,8.05
ranot,68,86,7.78,100.32,78.67,7.4
cedar city,1,3,37.68,-113.06,80.96,20.8
indianola,1,45,40.24,-100.42,84.02,17.22
ambanja,20,96,-13.68,48.45,65.89,1.92
lithakia,20,77,37.72,20.83,60.8,7.96
paamiut,0,96,61.99,-49.67,40.42,9.19
ippy,64,93,6.26,21.2,68.14,2.82
tabasalu,75,71,59.43,24.54,57.2,18.34
emerald,0,47,-23.53,148.16,74.89,6.96
tura,92,98,25.52,90.21,73.09,2.71
vestmanna,88,93,62.16,-7.17,46.4,12.75
boa vista,20,62,2.82,-60.67,87.8,4.7
shimoda,75,78,34.7,138.93,71.6,14.99
moro,0,82,26.66,68.0,76.42,7.52
kudahuvadhoo,56,100,2.67,72.89,81.73,9.42
ambilobe,0,88,-13.19,49.05,65.8,5.17
port stanley,40,82,42.67,-81.22,66.2,4.7
shelburne,1,88,44.08,-80.2,64.38,2.24
kargil,48,91,34.56,76.13,23.95,1.7
ginda,12,100,30.69,78.49,50.23,1.7
batemans bay,0,82,-35.71,150.18,59.41,3.38
togur,24,94,58.36,82.83,38.71,4.94
talikota,0,88,16.48,76.32,68.95,7.96
aksarayskiy,0,71,46.79,48.01,57.2,5.28
wajir,0,70,1.75,40.07,74.71,10.31
kindu,92,100,-2.95,25.92,68.14,1.92
taltal,0,87,-25.41,-70.49,54.19,1.81
stephenville,40,65,32.22,-98.2,82.31,11.21
kapiri mposhi,0,59,-13.97,28.68,57.43,5.39
fandriana,88,99,-20.24,47.38,57.61,1.92
posse,32,39,-14.08,-46.36,80.02,10.65
purpe,0,83,64.48,76.69,22.69,2.93
bertoua,44,95,4.58,13.68,65.44,4.94
morgan city,5,74,29.7,-91.21,82.2,8.05
tilichiki,92,96,60.47,166.1,48.07,4.05
broome,80,100,52.47,1.45,47.26,3.36
whitehorse,90,87,60.72,-135.06,46.4,6.93
denpasar,20,74,-8.65,115.22,78.8,1.12
lydenburg,0,34,-25.1,30.46,51.49,3.15
portland,90,77,45.52,-122.67,63.27,8.05
nueva germania,8,52,-23.91,-56.7,78.4,7.96
kannad,20,96,20.26,75.13,65.89,6.17
bam,0,27,29.11,58.36,59.68,4.27
okhotsk,0,87,59.36,143.24,52.3,4.16
logan lake,90,87,50.49,-120.81,56.07,4.7
santa rosa,76,62,-36.62,-64.29,60.76,6.73
awjilah,0,59,29.14,21.3,75.61,11.65
nynashamn,0,76,58.9,17.95,53.55,12.75
solenzo,56,89,12.18,-4.08,72.55,4.83
laja,0,62,-37.28,-72.71,55.4,18.34
klyuchi,92,95,52.25,79.17,45.19,8.75
sarangani,8,98,5.4,125.46,82.81,16.46
nogliki,0,83,51.8,143.14,56.98,1.59
the valley,40,74,18.22,-63.06,83.1,10.29
sao miguel do araguaia,0,76,-13.28,-50.16,74.44,3.6
turayf,75,28,31.68,38.65,86.0,11.41
sirsa,0,69,29.54,75.04,76.69,8.75
medzilaborce,0,87,49.27,21.9,53.29,2.37
mananjary,20,86,-19.16,46.8,48.61,2.59
meadow lake,90,100,54.13,-108.44,42.8,10.29
durban,90,93,43.54,0.58,66.81,4.7
ostrovnoy,92,100,68.05,39.51,48.79,16.24
cap-aux-meules,5,82,47.38,-61.86,59.0,12.75
monte patria,80,88,-30.69,-70.96,47.35,0.47
paysandu,92,65,-32.32,-58.08,66.16,9.42
kafue,0,59,-15.74,28.18,57.97,6.17
maceio,0,83,-9.67,-35.74,69.8,4.7
santana do acarau,0,50,-3.46,-40.21,81.91,12.33
shu,0,35,43.6,73.76,45.37,19.26
tezu,100,99,27.93,96.16,63.64,1.25
helena,75,5,46.59,-112.04,64.04,17.22
nioaque,0,40,-21.16,-55.83,79.39,10.42
troitsko-pechorsk,92,96,62.71,56.19,52.39,12.77
deqing,40,88,30.54,119.97,77.0,4.47
cordun,24,84,44.69,23.04,56.89,4.16
yaan,80,97,7.38,8.57,74.71,7.96
yerbogachen,92,88,61.28,108.01,39.43,3.94
emba,0,73,34.81,32.42,72.63,6.93
botshabelo,0,47,-29.23,26.73,35.6,4.7
holland,1,70,42.79,-86.11,74.16,3.49
mayumba,92,100,-3.44,10.65,73.36,6.96
narsaq,0,64,60.91,-46.05,39.2,6.93
nacogdoches,56,93,31.6,-94.66,72.68,3.36
huron,1,47,44.36,-98.21,82.04,19.46
jawhar,80,93,19.91,73.23,71.47,2.71
srinivaspur,40,100,13.34,78.21,71.6,1.12
isakly,24,74,54.13,51.53,43.48,6.51
carutapera,0,77,-1.2,-46.02,80.47,14.79
mantua,0,88,45.16,10.79,71.02,2.24
chernyshevsk,92,90,52.51,117.01,45.19,7.18
muisne,88,76,0.61,-80.02,75.97,8.41
perth,0,87,56.4,-3.43,48.2,8.05
homer,1,86,59.64,-151.54,57.54,11.41
santa isabel do rio negro,80,99,-0.41,-65.02,73.99,3.27
kholodnyy,80,84,62.72,147.95,35.29,3.83
tarko-sale,24,83,64.92,77.78,24.76,2.93
lingao,64,95,19.91,109.69,78.4,5.39
techiman,92,93,7.58,-1.94,68.77,2.93
puri,20,73,-7.54,112.45,75.2,4.7
weihai,0,100,37.5,122.11,74.08,6.4
taguatinga,20,34,-15.83,-48.06,78.8,4.7
sorland,36,100,67.67,12.69,52.3,8.08
mucuri,88,86,-18.08,-39.55,71.56,9.75
northam,0,93,51.04,-4.21,48.56,4.7
tiarei,20,70,-17.53,-149.33,84.2,14.99
cayenne,0,88,4.94,-52.33,80.6,6.93
uyuni,0,13,-20.46,-66.82,45.19,10.76
severo-yeniseyskiy,80,73,60.37,93.04,35.11,6.06
berkakit,88,98,56.58,124.77,47.44,5.95
rosetta,40,61,31.4,30.42,78.8,3.36
roald,92,87,62.58,6.12,51.8,20.8
obo,56,91,5.39,26.49,71.56,3.04
la palma,56,99,5.36,-74.39,67.06,1.81
tadine,20,91,-21.55,167.88,72.82,16.24
